,Index,Predicted_values,original
289,1,0,0
112,2,0,0
396,3,0,0
226,4,0,0
448,5,0,0
469,6,0,0
419,7,0,0
465,8,0,0
55,9,0,0
379,10,0,0
506,11,0,0
390,12,0,0
45,13,1,0
19,14,0,0
243,15,0,0
161,16,0,0
515,17,1,0
88,18,1,0
461,19,1,0
18,20,0,0
392,21,0,0
458,22,0,0
517,23,1,0
504,24,0,0
381,25,0,0
209,26,0,0
158,27,0,0
474,28,0,0
408,29,0,0
43,30,0,0
126,31,0,0
401,32,0,0
403,33,0,0
395,34,0,0
136,35,0,0
143,36,0,0
83,37,0,0
171,38,0,0
81,39,0,0
132,40,0,0
96,41,0,0
358,42,0,0
479,43,0,0
220,44,0,0
166,45,1,0
309,46,0,0
199,47,0,0
125,48,0,0
464,49,0,0
145,50,0,0
346,51,0,0
271,52,1,0
208,53,0,0
520,54,0,0
494,55,0,0
89,56,0,0
74,57,0,0
353,58,0,0
292,59,0,0
486,60,0,0
411,61,0,0
233,62,0,0
315,63,0,0
189,64,0,0
359,65,0,0
300,66,0,0
255,67,0,0
175,68,0,0
279,69,0,0
450,70,0,0
144,71,0,0
123,72,0,0
431,73,0,0
201,74,1,0
67,75,0,0
113,76,0,0
380,77,1,0
244,78,0,0
372,79,0,0
377,80,0,0
217,81,1,0
276,82,1,0
365,83,0,0
493,84,0,0
371,85,0,0
430,86,0,0
206,87,0,0
85,88,0,0
527,89,0,0
451,90,0,0
521,91,0,0
93,92,0,0
338,93,0,0
295,94,0,0
258,95,1,0
176,96,0,0
282,97,0,0
278,98,0,0
445,99,0,0
109,100,0,0
48,101,0,0
349,102,0,0
329,103,0,0
202,104,0,0
522,105,0,0
387,106,0,0
9,107,0,0
248,108,0,0
405,109,0,0
337,110,1,0
328,111,0,0
398,112,0,0
436,113,0,0
428,114,0,0
481,115,0,0
409,116,0,0
404,117,0,0
491,118,0,0
227,119,0,0
352,120,0,0
432,121,0,0
167,122,0,0
473,123,0,0
242,124,0,0
347,125,1,0
375,126,0,0
277,127,0,0
397,128,0,0
386,129,0,0
73,130,0,0
416,131,0,0
415,132,0,0
210,133,0,0
385,134,1,0
319,135,0,0
108,136,0,0
256,137,0,0
306,138,0,0
482,139,1,0
257,140,0,0
146,141,0,0
17,142,0,0
147,143,0,0
155,144,0,0
536,145,0,0
354,146,0,0
318,147,0,0
58,148,0,0
316,149,1,0
399,150,0,0
54,151,0,0
296,152,0,0
240,153,0,0
195,154,0,0
212,155,0,0
121,156,0,0
25,157,0,0
234,158,0,0
360,159,0,0
421,160,0,0
33,161,0,0
59,162,0,0
160,163,0,0
36,164,0,0
247,165,0,0
135,166,0,0
407,167,0,0
38,168,0,0
222,169,0,0
412,170,1,0
302,171,0,0
422,172,1,0
213,173,1,0
495,174,1,0
63,175,0,0
205,176,0,0
280,177,0,0
40,178,0,0
413,179,0,0
92,180,1,0
512,181,0,0
503,182,0,0
197,183,0,0
225,184,0,0
22,185,1,0
129,186,0,0
434,187,0,0
211,188,0,0
516,189,0,0
322,190,0,0
124,191,0,0
130,192,0,0
249,193,0,0
304,194,0,0
485,195,1,0
190,196,0,0
480,197,0,0
467,198,0,0
203,199,0,0
355,200,0,0
538,201,0,0
307,202,0,0
324,203,0,0
5,204,1,0
120,205,0,0
237,206,0,0
367,207,0,0
370,208,0,0
424,209,0,0
261,210,0,0
15,211,0,0
231,212,0,0
39,213,0,0
281,214,0,0
471,215,0,0
163,216,0,0
184,217,0,0
228,218,0,0
230,219,1,0
459,220,0,0
99,221,0,0
12,222,0,0
348,223,0,0
310,224,0,0
356,225,0,0
262,226,1,0
266,227,1,0
314,228,0,0
341,229,0,0
511,230,0,0
523,231,0,0
97,232,0,0
477,233,0,0
339,234,0,0
16,235,0,0
509,236,0,0
224,237,0,0
27,238,1,0
507,239,0,0
519,240,0,0
308,241,0,0
484,242,0,0
246,243,1,0
488,244,0,0
219,245,0,0
293,246,0,0
426,247,0,0
462,248,0,0
368,249,0,0
52,250,0,0
173,251,0,0
457,252,0,0
466,253,0,0
114,254,0,0
472,255,0,0
60,256,0,0
50,257,0,0
174,258,0,0
454,259,0,0
529,260,0,0
13,261,0,0
235,262,1,0
364,263,0,0
526,264,0,0
111,265,0,0
447,266,0,0
487,267,0,0
290,268,1,0
298,269,0,0
513,270,0,0
87,271,0,0
437,272,0,0
330,273,0,0
196,274,0,0
373,275,0,0
332,276,0,0
530,277,0,0
490,278,0,0
204,279,0,0
291,280,0,0
77,281,0,0
134,282,1,0
533,283,0,0
141,284,0,0
270,285,0,0
274,286,0,0
260,287,0,0
463,288,1,0
72,289,0,0
350,290,0,0
177,291,0,0
32,292,0,0
214,293,0,0
440,294,0,0
534,295,0,0
41,296,0,0
26,297,1,0
267,298,0,0
537,299,0,0
236,300,0,0
311,301,0,0
394,302,0,0
344,303,0,0
539,304,1,0
369,305,0,0
188,306,0,0
95,307,0,0
56,308,0,0
75,309,0,0
42,310,0,0
218,311,0,0
164,312,0,0
351,313,0,0
456,314,0,0
301,315,0,0
154,316,0,0
115,317,0,0
252,318,0,0
178,319,0,0
30,320,0,0
192,321,0,0
150,322,0,0
241,323,0,0
514,324,0,0
172,325,0,0
8,326,0,0
253,327,0,0
118,328,0,0
325,329,0,0
2,330,1,0
259,331,0,0
402,332,0,0
478,333,0,0
374,334,0,0
455,335,0,0
417,336,0,0
524,337,0,0
194,338,0,0
499,339,0,0
331,340,0,0
336,341,0,0
245,342,0,0
391,343,0,0
3,344,0,0
327,345,0,0
510,346,0,0
207,347,0,0
149,348,0,0
335,349,0,0
165,350,0,0
46,351,0,0
284,352,0,0
138,353,0,0
528,354,0,0
254,355,0,0
68,356,0,0
525,357,0,0
366,358,0,0
446,359,0,0
501,360,0,0
103,361,1,1
191,362,0,1
410,363,1,1
137,364,0,1
343,365,1,1
317,366,0,1
357,367,1,1
14,368,1,1
79,369,0,1
441,370,1,1
535,371,1,1
168,372,0,1
200,373,0,1
29,374,1,1
468,375,1,1
427,376,0,1
117,377,0,1
489,378,0,1
105,379,1,1
216,380,1,1
0,381,1,1
313,382,0,1
180,383,0,1
476,384,0,1
159,385,0,1
104,386,0,1
69,387,0,1
182,388,0,1
78,389,0,1
502,390,1,1
303,391,0,1
342,392,0,1
156,393,1,1
127,394,1,1
283,395,1,1
321,396,0,1
221,397,1,1
439,398,0,1
37,399,1,1
389,400,0,1
272,401,0,1
239,402,0,1
119,403,1,1
90,404,1,1
57,405,0,1
429,406,0,1
444,407,0,1
170,408,1,1
383,409,0,1
378,410,1,1
80,411,0,1
263,412,0,1
64,413,0,1
62,414,1,1
91,415,1,1
382,416,1,1
345,417,1,1
20,418,0,1
443,419,1,1
388,420,1,1
70,421,1,1
229,422,0,1
84,423,0,1
269,424,0,1
6,425,1,1
187,426,0,1
435,427,0,1
232,428,0,1
66,429,0,1
100,430,0,1
297,431,0,1
101,432,0,1
286,433,0,1
24,434,0,1
86,435,1,1
320,436,1,1
425,437,0,1
326,438,0,1
116,439,0,1
34,440,1,1
497,441,1,1
251,442,0,1
215,443,0,1
273,444,0,1
361,445,1,1
153,446,0,1
299,447,0,1
142,448,0,1
61,449,0,1
181,450,0,1
152,451,0,1
288,452,0,1
305,453,1,1
264,454,0,1
23,455,0,1
193,456,0,1
265,457,1,1
508,458,1,1
414,459,1,1
400,460,0,1
31,461,0,1
518,462,1,1
452,463,0,1
238,464,1,1
198,465,1,1
376,466,1,1
449,467,1,1
169,468,1,1
94,469,1,1
340,470,1,1
128,471,1,1
498,472,1,1
51,473,1,1
148,474,1,1
65,475,1,1
71,476,0,1
21,477,1,1
140,478,1,1
157,479,1,1
268,480,1,1
131,481,1,1
363,482,1,1
285,483,1,1
4,484,1,1
183,485,1,1
53,486,1,1
433,487,1,1
442,488,1,1
185,489,1,1
362,490,1,1
406,491,0,1
82,492,1,1
133,493,0,1
76,494,0,1
483,495,0,1
7,496,0,1
151,497,0,1
35,498,1,1
47,499,1,1
418,500,1,1
122,501,0,1
294,502,0,1
1,503,1,1
492,504,0,1
496,505,0,1
106,506,0,1
44,507,0,1
223,508,1,1
10,509,0,1
323,510,1,1
102,511,1,1
420,512,0,1
423,513,1,1
275,514,1,1
49,515,1,1
438,516,1,1
532,517,1,1
470,518,1,1
453,519,1,1
460,520,1,1
475,521,1,1
107,522,1,1
28,523,1,1
384,524,1,1
179,525,1,1
250,526,1,1
531,527,1,1
334,528,1,1
393,529,1,1
333,530,1,1
139,531,1,1
312,532,1,1
110,533,1,1
500,534,1,1
162,535,1,1
98,536,1,1
287,537,1,1
11,538,1,1
505,539,1,1
186,540,1,1
